"","playerId","position.x","rec","recYds","recTds","rushYds","rushTds","fumbles","returnYds","analyst.x","player.x","player.y","position.y","team","opponent","depthChart","esbid","position","analyst.y","points"
"156","2556697","WR",0.1,2,0,0.2,0,0,0.4,18,"Bryce Treggs","Bryce Treggs","WR","PHI","@WAS","2","TRE674214","WR",18,0.27
"157","2556752","WR",0.4,3.4,0,0.3,0,0,23.1,18,"Tommylee Lewis","Tommylee Lewis","WR","NO","@MIN","3","LEW746431","WR",18,0.455
"158","2556785","WR",0.4,5.6,0,0,0,0,1.2,18,"Paul Turner","Paul Turner","WR","PHI","@WAS","4","TUR636473","WR",18,0.7
"159","2556805","WR",0.1,0.6,0,2.6,0,0,0,18,"Johnny Holton","Johnny Holton","WR","OAK","@TEN","3","HOL773557","WR",18,0.335
"160","2557848","WR",3.4,42.4,0.3,0.1,0,0,2.2,18,"Corey Davis","Corey Davis","WR","TEN","OAK","1","DAV247957","WR",18,7.11
"161","2557863","WR",3.1,36.5,0.1,1.8,0,0,2.3,18,"Zay Jones","Zay Jones","WR","BUF","NYJ","2","JON403726","WR",18,5.3425
"162","2557898","WR",0.7,5.6,0,0.2,0,0.1,10,18,"Cooper Kupp","Cooper Kupp","WR","LAR","IND","NULL","KUP534597","WR",18,0.42
"163","2557905","WR",0.2,1.8,0,0.2,0,0,5.4,18,"Amara Darboh","Amara Darboh","WR","SEA","@GB","8","DAR032327","WR",18,0.245
"164","2557960","WR",0,0,0,-0.4,0,0,12.9,18,"Ryan Switzer","Ryan Switzer","WR","DAL","NYG","NULL","SWI749216","WR",18,-0.04
"165","2558003","WR",0.1,0.6,0,-0.1,0,0,8,18,"Carlos Henderson","Carlos Henderson","WR","DEN","LAC","NULL","HEN046638","WR",18,0.065
"166","2558010","WR",0.3,2.3,0,0.2,0,0,18.9,18,"John Ross","John Ross","WR","CIN","BAL","3","ROS616450","WR",18,0.3075
"167","2558047","WR",0.1,0.5,0,0.4,0,0,12,18,"Rodney Adams","Rodney Adams","WR","MIN","NO","5","ADA555214","WR",18,0.1025
"168","2558052","WR",3,36.4,0.1,0,0,0.1,3.4,18,"Kenny Golladay","Kenny Golladay","WR","DET","ARI","2","GOL573546","WR",18,4.85
"169","2558066","WR",1.5,19.4,0,0.6,0,0.1,5.9,18,"Curtis Samuel","Curtis Samuel","WR","CAR","@SF","3","SAM633285","WR",18,2.185
"170","2558069","WR",1,11.7,0,0,0,0.1,13.3,18,"Chad Hansen","Chad Hansen","WR","NYJ","@BUF","NULL","HAN612772","WR",18,1.1625
"171","2558105","WR",0.6,6.9,0,0,0,0,1.4,18,"Chris Godwin","Chris Godwin","WR","TB","@MIA","NULL","GOD549393","WR",18,0.8625
"172","2558150","WR",2.7,30.8,0.3,0.1,0,0,4.1,18,"ArDarius Stewart","ArDarius Stewart","WR","NYJ","@BUF","NULL","STE738995","WR",18,5.66
"173","2558194","WR",0.2,1.3,0,0,0,0,0.6,18,"Josh Reynolds","Josh Reynolds","WR","LAR","IND","NULL","REY398905","WR",18,0.1625
"174","2558208","WR",0.1,0.3,0,0,0,0,4.6,18,"Chad Williams","Chad Williams","WR","ARI","@DET","3","WIL179904","WR",18,0.0375
"175","2558262","WR",0.6,5.3,0,0.3,0,0,5.4,18,"Mack Hollins","Mack Hollins","WR","PHI","@WAS","2","HOL280459","WR",18,0.6925
"176","2558846","WR",0.1,0.9,0,0,0,0,14.4,18,"Mike Williams","Mike Williams","WR","LAC","@DEN","NULL","WIL000009","WR",18,0.1125
"177","2649","WR",1.2,11,0.2,0.3,0,0.1,12.6,18,"Danny Amendola","Danny Amendola","WR","NE","KC","3","AME359918","WR",18,2.305
"178","4487","WR",0,0,0,0.1,0,0,1.8,18,"Matt Slater","Matthew Slater","WR","NE","KC","4","SLA420538","WR",18,0.01
"179","497270","WR",0.2,4.3,0,0,0,0,1.4,18,"Arrelious Benn","Arrelious Benn","WR","JAX","@HOU","2","BEN192067","WR",18,0.5375
"180","497278","WR",4.2,64,0.7,0,0,0.1,0.3,18,"Dez Bryant","Dez Bryant","WR","DAL","NYG","1","BRY336027","WR",18,11.9
"181","497284","WR",3.3,52.3,0.5,0.3,0,0.1,0.2,18,"Eric Decker","Eric Decker","WR","TEN","OAK","2","DEC487021","WR",18,9.2675
"182","497302","WR",4,52.3,0.2,0.6,0,0,0,18,"Brandon LaFell","Brandon LaFell","WR","CIN","BAL","1","LAF184731","WR",18,7.7975
